epoch,acc,loss,val_acc,val_loss
0,0.0788128930818,3.15021946403,0.1,3.1404195857
1,0.0854952830189,3.09054617668,0.07,3.04090656281
2,0.115959119497,2.9994847354,0.13,3.06831666708
3,0.127161949686,2.92152255162,0.16,2.69788605094
4,0.158411949686,2.79211442006,0.19,2.71098306775
5,0.215212264151,2.5981090786,0.17,2.80952421844
6,0.297955974843,2.33771266396,0.23,2.34237161731
7,0.353970125786,2.12988321946,0.21,2.34745072812
8,0.424135220126,1.88494744184,0.28,2.26268700628
9,0.506682389937,1.60616610528,0.39,2.17994861968
